,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp.,Wind Speed
38,São Filipe,0,CV,1586552361,75,14.9,-24.5,75.67,14.14
39,Dingle,43,PH,1586552362,85,11.0,122.67,77.09,8.34
40,Jamestown,90,US,1586552363,69,42.1,-79.24,35.76,27.51
41,Busselton,56,AU,1586552364,51,-33.65,115.33,65.61,12.15
42,Punta Arenas,75,CL,1586552365,70,-53.15,-70.92,46.2,11.41
43,Port Elizabeth,1,ZA,1586552366,87,-33.92,25.57,60.8,8.05
44,Thompson,90,CA,1586552367,40,55.74,-97.86,33.8,3.36
45,Dukat,0,RU,1586552369,84,62.55,155.55,5.85,6.04
46,Samarai,63,PG,1586552370,77,-10.62,150.67,79.57,5.64
47,Katsuura,20,JP,1586552371,49,35.13,140.3,47.8,10.29
48,Hithadhoo,26,MV,1586552372,63,-0.6,73.08,84.33,6.13
49,Nantucket,75,US,1586552373,65,41.28,-70.1,48.54,24.16
50,Fairbanks,90,US,1586552374,85,64.84,-147.72,21.92,6.93
51,George Town,20,MY,1586552123,94,5.41,100.34,80.38,4.81
52,Gobabis,2,NA,1586552377,72,-22.45,18.97,68.0,5.82
53,Ushuaia,40,AR,1586552078,61,-54.8,-68.3,48.2,26.4
54,Oranjemund,0,NA,1586552379,73,-28.55,16.43,59.11,5.97
55,Ancud,100,CL,1586552380,87,-41.87,-73.82,55.4,6.93
56,Luba,20,GQ,1586552381,94,3.46,8.55,80.6,8.05
57,Kavieng,100,PG,1586552382,74,-2.57,150.8,83.55,4.7
58,Dikson,98,RU,1586552384,96,73.51,80.55,12.51,7.74
59,Carnarvon,83,AU,1586552385,94,-24.87,113.63,77.0,12.75
60,Khatanga,100,RU,1586552386,97,71.97,102.5,29.35,23.29
61,Kulhudhuffushi,0,MV,1586552387,65,6.62,73.07,84.2,2.93
62,Saldanha,0,ZA,1586552388,88,-33.01,17.94,62.6,8.05
63,Saskylakh,84,RU,1586552389,92,71.92,114.08,23.76,19.01
64,Vaini,40,TO,1586552390,78,-21.2,-175.2,75.2,5.82
65,Tabas,100,IR,1586552305,47,33.6,56.92,69.51,18.5
66,Ovsyanka,0,RU,1586552393,92,55.96,92.55,21.2,3.62
67,Bengkulu,100,ID,1586552394,79,-3.8,102.27,77.32,4.09
68,Zhuhai,40,CN,1586552395,100,22.28,113.57,70.95,2.24
69,Pevek,100,RU,1586552168,86,69.7,170.31,1.26,22.46
70,Mataura,0,NZ,1586552397,96,-46.19,168.86,43.0,3.44
71,Mount Isa,100,AU,1586552398,28,-20.73,139.5,71.6,12.75
72,Lázaro Cárdenas,5,MX,1586552183,44,17.96,-102.2,88.16,9.64
73,Broome,90,US,1586552147,80,42.25,-75.83,36.0,14.99
74,Hobart,75,AU,1586552226,93,-42.88,147.33,48.69,4.7
75,Genhe,0,CN,1586552403,70,50.78,121.52,29.28,2.75
76,Saint-Philippe,20,RE,1586552162,78,-21.36,55.77,69.51,10.29
77,Tessalit,44,ML,1586552406,11,20.2,1.01,87.35,9.35
78,Taoudenni,0,ML,1586552407,11,22.68,-3.98,89.82,7.67
79,Necochea,0,AR,1586552358,52,-38.55,-58.74,68.0,11.01
80,Port Hawkesbury,75,CA,1586552410,65,45.62,-61.35,40.69,20.8
81,Quang Ngai,82,VN,1586552400,88,15.12,108.8,74.79,3.49
82,Vostok,88,RU,1586552216,91,46.49,135.88,23.59,2.91
83,Ampanihy,14,MG,1586552413,79,-24.7,44.75,70.36,12.37
84,Kapaa,1,US,1586552308,64,22.08,-159.32,75.97,11.41
85,Chui,0,UY,1586552417,75,-33.7,-53.46,64.87,7.85
86,Owerri,80,NG,1586552418,80,5.48,7.03,80.56,3.42
87,Chokurdakh,0,RU,1586552419,96,70.63,147.92,18.9,10.98
88,Colares,20,PT,1586552420,82,38.8,-9.45,59.79,12.75
89,Camaná,82,PE,1586552348,72,-16.62,-72.71,74.37,8.05
90,Victor Harbor,75,AU,1586552423,72,-35.57,138.62,59.04,20.8
91,Qaqortoq,100,GL,1586552424,24,60.72,-46.03,44.6,42.5
92,Hong Kong,40,HK,1586552202,88,22.29,114.16,70.39,11.41
93,Sørland,100,NO,1586552427,82,67.67,12.69,33.98,15.86
94,Puerto del Rosario,20,ES,1586552428,64,28.5,-13.86,69.17,14.99
95,Saint-Joseph,20,RE,1586552429,78,-21.37,55.62,69.49,10.29
96,Saint-Pierre,20,RE,1586552431,78,-21.34,55.48,70.29,10.29
97,Soni,97,TZ,1586552432,76,-4.85,38.37,62.17,2.55
98,New Norfolk,75,AU,1586552433,93,-42.78,147.06,48.2,4.7
99,Port Lincoln,100,AU,1586552228,69,-34.73,135.87,60.51,16.42
100,Garmsār,95,IR,1586552435,59,35.22,52.34,53.37,0.89
101,Ratnagiri,40,IN,1586552437,70,16.98,73.3,79.86,4.07
102,Qaanaaq,4,GL,1586552439,81,77.48,-69.36,7.41,5.73
103,Balikpapan,40,ID,1586552440,88,-1.27,116.83,78.8,5.82
104,Te Anau,10,NZ,1586552441,67,-45.42,167.72,49.69,5.23
105,Cabo San Lucas,75,MX,1586552414,53,22.89,-109.91,74.34,6.93
106,Beringovskiy,100,RU,1586552444,94,63.05,179.32,6.58,16.69
107,Marsaxlokk,11,MT,1586552446,87,35.84,14.54,56.03,3.36
108,Władysławowo,75,PL,1586552448,64,54.79,18.4,40.05,1.12
109,Al Bardīyah,0,LY,1586552449,70,31.76,25.09,59.0,15.55
110,Hobyo,90,SO,1586552450,69,5.35,48.53,83.19,13.04
111,Plouzané,0,FR,1586552420,67,48.38,-4.62,58.39,3.36
112,Fort Nelson,40,CA,1586552453,36,58.81,-122.7,30.2,11.41
113,Narsaq,100,GL,1586552434,24,60.92,-46.05,44.6,42.5
114,Cape Town,34,ZA,1586552455,88,-33.93,18.42,61.81,8.05
115,Kīhei,40,US,1586552263,54,20.79,-156.47,77.72,16.11
116,Bethel,90,US,1586552458,48,41.37,-73.41,44.87,17.22
117,Makubetsu,99,JP,1586552459,97,45.37,141.82,29.48,10.96
118,Dolinsk,40,RU,1586552460,92,47.35,142.8,24.8,6.71
119,Xinyu,100,CN,1586552462,89,27.8,114.93,60.49,11.83
120,Nome,90,US,1586552463,86,64.5,-165.41,26.29,11.41
121,Arraial do Cabo,75,BR,1586552464,83,-22.97,-42.03,73.4,5.82
122,Gwadar,0,PK,1586552465,68,25.12,62.33,79.54,3.62
123,Haines Junction,0,CA,1586552436,77,60.75,-137.51,26.76,2.75
124,Horadiz,75,AZ,1586552467,76,39.45,47.34,50.0,0.89
125,Avarua,100,CK,1586552446,94,-21.21,-159.78,82.4,6.93
126,Bluff,0,NZ,1586552470,97,-46.6,168.33,45.0,1.01
127,Aykhal,0,RU,1586552471,67,66.0,111.5,23.0,6.71
128,Tuatapere,0,NZ,1586552472,97,-46.13,167.68,45.0,1.01
129,Glace Bay,75,CA,1586552473,60,46.2,-59.96,41.27,24.16
130,Codrington,46,AU,1586552474,70,-38.27,141.97,53.01,25.66
131,Hermanus,52,ZA,1586552477,96,-34.42,19.23,58.62,3.6
132,Thomasville,1,US,1586552478,24,35.88,-80.08,56.7,5.82
133,Arman',0,RU,1586552445,91,59.7,150.17,17.64,5.57
134,Cícero Dantas,77,BR,1586552480,58,-10.6,-38.38,80.29,7.94
135,Lagoa,0,PT,1586552481,70,39.05,-27.98,62.24,6.78
136,Port Macquarie,90,AU,1586552482,100,-31.43,152.92,57.83,7.61
137,Kahului,40,US,1586552213,54,20.89,-156.47,77.92,16.11
138,Iqaluit,75,CA,1586552486,66,63.75,-68.51,14.0,3.36
139,Vestmanna,100,FO,1586552425,100,62.16,-7.17,42.8,13.87
140,Pisco,0,PE,1586552460,30,-13.7,-76.22,73.11,9.17
141,Vila Franca do Campo,20,PT,1586552489,77,37.72,-25.43,60.8,9.17
142,Clyde River,90,CA,1586552492,85,70.47,-68.59,12.2,19.46
143,Guiratinga,23,BR,1586552494,69,-16.35,-53.76,78.69,4.16
144,Rzhev,74,RU,1586552495,77,56.26,34.33,35.65,6.35
145,Benjamín Hill,0,MX,1586552496,18,30.17,-111.1,77.07,8.99
146,Ponta do Sol,20,PT,1586552497,68,32.67,-17.1,62.08,6.93
147,Buraidah,8,SA,1586552498,33,26.33,43.98,73.4,6.93
148,Keti Bandar,0,PK,1586552499,79,24.14,67.45,76.66,10.2
149,Castro,15,BR,1586552423,53,-24.79,-50.01,60.78,2.82
150,Peniche,75,PT,1586552502,87,39.36,-9.38,58.59,4.7
151,Sur,100,OM,1586552481,58,22.57,59.53,83.05,8.9
152,North Bend,90,US,1586552504,76,43.41,-124.22,56.75,12.75
153,Wufeng,99,CN,1586552505,56,27.45,104.83,48.07,6.02
154,Ratne,33,UA,1586552506,60,51.67,24.53,41.27,3.0
155,Ostrovnoy,48,RU,1586552508,94,68.05,39.51,13.32,9.82
156,East London,100,ZA,1586552467,78,-33.02,27.91,69.17,5.57
157,Bilma,67,NE,1586552510,13,18.69,12.92,82.47,11.43
158,Svetlaya,96,RU,1586552240,95,46.54,138.33,28.89,5.19
159,Asău,20,RO,1586552516,37,46.43,26.4,49.41,11.41
160,Tautira,100,PF,1586552517,70,-17.73,-149.15,87.8,12.75
161,Kruisfontein,0,ZA,1586552518,65,-34.0,24.73,58.01,2.53
162,Butaritari,100,KI,1586552519,74,3.07,172.79,84.42,9.37
163,Nara,20,JP,1586552465,80,34.69,135.8,40.12,4.7
164,Pangnirtung,22,CA,1586552522,86,66.15,-65.71,21.47,3.53
165,Henties Bay,1,NA,1586552524,84,-22.12,14.28,64.0,1.01
166,Ilulissat,0,GL,1586552302,55,69.22,-51.1,35.6,6.93
167,Upernavik,0,GL,1586552526,88,72.79,-56.15,14.34,10.31
168,George Town,20,MY,1586552436,94,5.41,100.34,80.29,4.81
169,Kysyl-Syr,0,RU,1586552529,95,63.9,122.76,22.03,6.67
170,Kumul,60,CN,1586552530,21,42.8,93.45,54.91,6.04
171,Port Alberni,20,CA,1586552531,62,49.24,-124.8,60.22,6.93
172,Alice Springs,0,AU,1586552412,54,-23.7,133.88,57.2,6.93
173,Eyl,16,SO,1586552533,71,7.98,49.82,81.99,10.33
174,Bilibino,28,RU,1586552534,81,68.05,166.44,-2.79,3.18
175,San Patricio,5,MX,1586552536,78,19.22,-104.7,80.6,5.82
176,Klaksvík,100,FO,1586552538,100,62.23,-6.59,42.8,13.87
177,Belyy Yar,0,RU,1586552539,92,53.6,91.39,19.4,2.24
178,Oussouye,9,SN,1586552540,69,12.48,-16.55,82.4,11.41
179,Provideniya,100,RU,1586552541,93,64.38,-173.3,11.7,16.04
180,Amapá,91,BR,1586552543,80,1.0,-52.0,75.63,5.93
181,Lakes Entrance,41,AU,1586552485,73,-37.88,147.98,59.09,22.41
182,Villa Rica,1,US,1586552545,24,33.73,-84.92,60.53,13.87
183,Marondera,36,ZW,1586552546,59,-18.19,31.55,52.83,4.72
184,Faanui,100,PF,1586552547,77,-16.48,-151.75,82.96,9.53
185,Sainte-Suzanne,85,RE,1586552549,73,-20.91,55.61,69.76,14.99
186,Yamoussoukro,47,CI,1586552550,100,6.82,-5.28,73.18,6.2
187,Constitución,17,CL,1586552552,65,-35.33,-72.42,60.57,10.27
188,Arys,100,KZ,1586552553,57,42.43,68.8,50.0,11.18
189,Santa Cruz de La Palma,57,ES,1586552554,82,28.68,-17.76,68.0,5.82
190,Rognac,0,FR,1586552555,76,43.49,5.23,53.55,5.82
191,San Rafael,0,AR,1586552556,26,-34.62,-68.33,76.78,19.48
192,Pychas,100,RU,1586552557,52,56.5,52.44,46.99,4.0
193,Egvekinot,0,RU,1586552430,84,66.32,-179.17,4.75,3.58
194,Lata,75,PT,1586552560,87,40.16,-8.33,57.79,4.7
195,Bintulu,90,MY,1586552563,94,3.17,113.03,77.0,2.66
196,Half Moon Bay,75,US,1586552484,63,37.46,-122.43,62.78,6.93
197,Bambous Virieux,40,MU,1586552491,78,-20.34,57.76,78.42,12.75
198,Korla,97,CN,1586552568,25,41.76,86.15,54.73,9.24
199,Svobodnyy,0,RU,1586552569,85,51.4,128.13,32.9,7.43
200,Salalah,40,OM,1586552293,83,17.02,54.09,80.6,3.36
201,Beloha,48,MG,1586552574,78,-25.17,45.05,72.3,17.05
202,Marataizes,96,BR,1586552575,84,-21.04,-40.82,73.13,6.29
203,Maniitsoq,100,GL,1586552576,82,65.42,-52.9,35.35,14.99
204,Taltal,7,CL,1586552577,64,-25.4,-70.48,68.76,6.08
205,Las Palmas,20,ES,1586552578,64,28.42,-14.01,69.8,14.99
206,Hualmay,32,PE,1586552580,69,-11.1,-77.61,76.8,8.75
207,Jizan,40,SA,1586552581,58,17.33,42.67,87.8,5.68
208,Brae,100,GB,1586552582,93,60.4,-1.35,44.6,10.29
209,Tabuk,59,PH,1586552583,83,17.42,121.44,72.18,0.85
210,Guilin,90,CN,1586552584,93,25.28,110.29,66.2,2.24
211,Khor,7,RU,1586552585,81,47.89,134.95,32.61,12.48
212,Lavrentiya,99,RU,1586552587,92,65.58,-171.0,11.44,10.96
213,Kentau,100,KZ,1586552588,47,43.52,68.51,44.67,8.32
214,Grindavik,90,IS,1586552589,86,63.84,-22.43,40.05,14.99
215,Atambua,29,ID,1586552590,77,-9.11,124.89,73.06,2.39
216,Saint George,1,US,1586552404,31,37.1,-113.58,63.28,3.36
217,Kikwit,50,CD,1586552592,77,-5.04,18.82,72.52,2.77
218,Gourcy,97,BF,1586552593,25,13.22,-2.35,88.9,6.96
219,New Richmond,90,US,1586552595,30,45.12,-92.54,46.69,8.05
220,İdil,100,TR,1586552597,62,37.34,41.89,49.64,3.27
221,La Rioja,66,ES,1586552598,93,42.25,-2.5,52.72,5.82
222,Katobu,51,ID,1586552600,88,-4.94,122.53,75.36,1.05
223,Vila,75,PT,1586552601,100,42.03,-8.16,53.87,3.36
224,Mil'kovo,89,RU,1586552602,90,54.72,158.62,26.6,0.67
225,Kamen'-na-Obi,0,RU,1586552604,90,53.79,81.34,31.89,6.26
226,Chennai,40,IN,1586552468,79,13.09,80.28,84.07,2.24
227,Tigil',41,RU,1586552607,95,57.8,158.67,14.74,2.15
228,Hasaki,20,JP,1586552455,86,35.73,140.83,33.15,5.46
229,Paracuru,40,BR,1586552609,79,-3.41,-39.03,84.04,9.17
230,Ribeira Grande,40,PT,1586552611,77,38.52,-28.7,64.4,3.36
231,Mananara,64,MG,1586552612,81,-16.17,49.77,76.87,11.23
232,Udachny,0,RU,1586552613,67,66.42,112.4,23.0,6.71
233,Ketchikan,1,US,1586552614,49,55.34,-131.65,45.7,17.22
234,Aylmer,20,CA,1586552615,41,42.77,-80.98,40.68,17.22
235,Kaitangata,0,NZ,1586552616,85,-46.28,169.85,54.0,0.76
236,San Cristobal,40,VE,1586552617,52,7.77,-72.22,93.2,13.87
237,Prince Rupert,1,CA,1586552379,61,54.32,-130.32,44.6,10.29
238,Juneau,1,US,1586552460,35,58.3,-134.42,42.8,14.99
239,Cherdyn',100,RU,1586552621,82,60.4,56.48,42.44,12.93
240,Leshukonskoye,34,RU,1586552451,96,64.9,45.76,17.83,3.96
241,Norman Wells,20,CA,1586552623,53,65.28,-126.83,24.8,9.17
242,Dolores,0,AR,1586552624,65,-36.31,-57.68,62.76,7.49
243,Gēdo,78,ET,1586552625,48,9.02,37.45,55.62,3.33
244,Karaton,20,ID,1586552627,94,-6.34,106.1,77.58,4.7
245,Rāmhormoz,3,IR,1586552628,49,31.28,49.6,75.47,7.05
246,Airai,6,TL,1586552629,71,-8.93,125.41,59.76,0.51
247,Monrovia,44,LR,1586552630,78,6.3,-10.8,81.03,7.14
248,Touros,20,BR,1586552631,74,-5.2,-35.46,84.2,10.29
249,Bay City,90,US,1586552632,45,43.59,-83.89,42.82,13.87
250,Bathsheba,40,BB,1586552433,66,13.22,-59.52,84.2,14.99
251,Maltahöhe,13,NA,1586552635,23,-24.83,16.98,72.68,4.09
252,Miranda,40,CO,1586552636,46,3.25,-76.23,91.4,5.82
253,Kavaratti,0,IN,1586552637,70,10.57,72.64,83.95,6.78
254,Lüderitz,0,NA,1586552638,82,-26.65,15.16,59.0,3.36
255,Altay,71,CN,1586552640,48,47.87,88.12,40.21,1.79
256,Mandalī,37,IQ,1586552641,43,33.75,45.55,68.22,2.46
257,Porto Nacional,40,BR,1586552643,88,-10.71,-48.42,78.8,3.36
258,Kenai,1,US,1586552644,40,60.55,-151.26,32.97,6.93
259,Vilyuysk,0,RU,1586552645,95,63.76,121.62,21.79,7.25
260,Springbok,0,ZA,1586552646,30,-29.66,17.89,54.23,1.97
261,Steamboat Springs,1,US,1586552577,30,40.48,-106.83,53.42,8.05
262,Craig,1,US,1586552511,17,40.52,-107.55,59.45,10.29
263,Praia,7,CV,1586552642,54,14.92,-23.51,78.8,19.46
264,Saint-Augustin,100,CA,1586552652,97,51.23,-58.65,29.05,30.58
265,Caucayá,75,CO,1586552653,84,-0.19,-74.78,79.07,3.96
266,Petra,56,JO,1586552654,58,30.32,35.48,46.99,7.94
267,Wilmington,1,US,1586552479,18,34.23,-77.94,64.02,19.46
268,Constantine,75,DZ,1586552469,93,36.37,6.61,53.6,2.24
269,Rio Grande,20,BR,1586552658,68,-32.03,-52.1,69.8,8.05
270,Saint Lawrence,4,MT,1586552659,87,36.06,14.2,56.21,3.36
271,Esna,0,EG,1586552660,40,25.29,32.55,68.0,6.93
272,Fershampenuaz,0,RU,1586552661,73,53.52,59.81,34.48,7.96
273,Papagiannis,0,GR,1586552663,37,40.83,21.5,51.46,5.82
274,San Vicente,0,AR,1586552664,50,-26.62,-54.13,64.76,3.78
275,Padang,73,ID,1586552665,77,-0.95,100.35,78.04,2.59
276,La Tuque,100,CA,1586552667,73,47.43,-72.78,36.43,10.67
277,Flinders,0,AU,1586552490,63,-34.58,150.86,59.67,18.34
278,Puerto Carreño,75,CO,1586552389,62,6.19,-67.49,87.8,6.93
279,College,90,US,1586552670,78,64.86,-147.8,22.71,4.7
280,Srednekolymsk,100,RU,1586552647,93,67.45,153.68,20.82,12.19
281,Athabasca,88,CA,1586552673,68,54.72,-113.29,33.82,12.55
282,Valparaíso,20,CL,1586552675,67,-33.04,-71.63,63.18,4.7
283,Salinópolis,78,BR,1586552676,81,-0.61,-47.36,81.75,14.61
284,Pratāpgarh,0,IN,1586552677,17,24.03,74.78,80.15,3.51
285,Arrondissement d'Ajaccio,0,FR,1586552678,58,42.0,8.92,51.15,6.93
286,Elyakhin,40,IL,1586552680,82,32.41,34.92,58.03,5.82
287,Kirovskiy,100,RU,1586552681,77,45.09,133.51,36.86,4.05
288,Pangody,100,RU,1586552412,98,65.85,74.49,29.71,3.89
289,Nanortalik,100,GL,1586552683,80,60.14,-45.24,35.2,11.7
290,Nyurba,0,RU,1586552685,96,63.28,118.33,24.21,5.12
291,Nísia Floresta,20,BR,1586552434,78,-6.09,-35.21,83.26,12.75
292,Igrim,96,RU,1586552690,96,63.19,64.42,38.71,9.8
293,Wanlaweyn,89,SO,1586552691,65,2.62,44.89,83.53,10.22
294,Kiryat Gat,40,IL,1586552644,82,31.61,34.76,55.08,5.82
295,Pombas,20,CV,1586552695,78,17.15,-25.02,75.2,28.86
296,Esperance,90,AU,1586552696,93,-33.87,121.9,59.0,4.7
297,Mahibadhoo,0,MV,1586552697,68,3.78,72.97,84.11,0.49
298,Puerto Escondido,40,MX,1586552543,84,15.85,-97.07,86.0,11.41
299,Bargi,12,IN,1586552699,16,22.98,79.87,79.41,5.93
300,Nuuk,97,GL,1586552502,55,64.18,-51.72,39.09,14.99
301,Maués,54,BR,1586552701,80,-3.38,-57.72,84.47,1.54
302,Braunfels,1,DE,1586552702,36,50.52,8.39,55.31,6.93
303,Malakanagiri,3,IN,1586552704,47,18.35,81.9,78.76,1.1
304,Imeni Babushkina,94,RU,1586552705,96,59.76,43.13,28.09,4.45
305,Houma,1,US,1586552706,49,29.6,-90.72,72.55,12.75
306,Port Hedland,0,AU,1586552707,88,-20.32,118.57,71.6,5.82
307,Nānākuli,90,US,1586552709,64,21.39,-158.15,76.93,5.82
308,Suihua,0,CN,1586552710,69,46.64,127.0,39.0,12.35
309,Yeppoon,75,AU,1586552491,93,-23.13,150.73,66.2,1.97
310,Marystown,99,CA,1586552712,90,47.17,-55.15,35.29,11.12
311,Okoneshnikovo,74,RU,1586552713,92,54.84,75.08,37.13,5.82
312,Dagda,98,LV,1586552715,75,56.1,27.54,36.61,6.98
313,Honningsvåg,99,NO,1586552585,87,70.98,25.97,29.62,22.19
314,Nelson Bay,3,AU,1586552717,77,-32.72,152.15,61.29,8.05
315,Campoverde,75,PE,1586552718,100,-8.48,-74.81,35.6,12.75
316,Abū Zabad,90,SD,1586552721,12,12.35,29.25,82.18,13.11
317,Lorengau,94,PG,1586552722,77,-2.02,147.27,81.57,3.91
318,Ville-Marie,90,CA,1586552723,68,47.33,-79.43,30.2,12.75
319,Saint Paul Harbor,1,US,1586552724,64,57.79,-152.41,39.2,4.7
320,Sampit,57,ID,1586552725,97,-2.53,112.95,74.25,2.01
321,Kuytun,100,RU,1586552727,77,54.34,101.5,39.0,6.4
322,Kholm,75,RU,1586552728,94,59.27,32.85,29.84,4.45
323,Santo Antônio do Içá,98,BR,1586552730,73,-3.1,-67.94,84.72,2.44
324,Pangoa,19,PE,1586552731,55,-12.12,-73.0,79.12,2.37
325,Mossamedes,14,AO,1586552732,57,-15.2,12.15,76.06,7.05
326,Acapulco de Juárez,5,MX,1586552689,79,16.86,-99.89,84.2,10.29
327,Kurchatov,3,RU,1586552734,69,51.66,35.65,39.04,7.67
328,Huainan,100,CN,1586552735,87,32.63,117.0,44.74,12.26
329,Sayula,5,MX,1586552736,21,19.87,-103.62,93.2,11.41
330,Zyryanovsk,0,KZ,1586552738,83,49.74,84.27,23.47,3.98
331,Lensk,92,RU,1586552739,90,60.73,114.93,32.07,2.62
332,Chodavaram,0,IN,1586552740,63,17.83,82.95,79.48,4.0
333,Cairns,40,AU,1586552551,88,-16.92,145.77,69.71,6.73
334,Atasū,48,KZ,1586552742,66,48.68,71.64,34.65,6.33
335,Kiunga,100,PG,1586552671,97,-6.12,141.29,73.31,0.81
336,Shache,80,CN,1586552744,18,38.42,77.24,57.99,5.12
337,Honiara,40,SB,1586552632,94,-9.43,159.95,77.0,2.24
338,Makkah al Mukarramah,50,SA,1586552747,30,21.43,39.83,72.61,6.22
339,Pitimbu,20,BR,1586552748,83,-7.47,-34.81,82.4,9.17
340,Maragogi,16,BR,1586552749,76,-9.01,-35.22,81.59,9.33
341,Shimoda,40,JP,1586552750,81,34.67,138.95,44.06,1.12
342,Hanna,100,CA,1586552555,63,51.63,-111.9,35.65,14.0
343,Mandera,52,KE,1586552527,14,3.94,41.87,84.99,3.0
344,Opuwo,13,NA,1586552754,42,-18.06,13.84,71.62,2.86
345,Severomuysk,98,RU,1586552755,56,56.15,113.43,23.68,1.95
346,Sungai Penuh,99,ID,1586552756,72,-2.08,101.38,66.56,0.98
347,Batagay-Alyta,8,RU,1586552757,85,67.8,130.41,15.31,5.66
348,Cavalcante,64,BR,1586552487,65,-13.8,-47.46,74.55,1.95
349,Entre Rios,59,BR,1586552759,74,-11.94,-38.08,77.85,6.22
350,Chengde,0,CN,1586552606,51,40.97,117.94,40.95,4.32
351,Marzuq,0,YE,1586552763,42,14.4,46.47,71.37,3.31
352,Agía Galíni,20,GR,1586552764,59,35.1,24.68,57.7,12.75
353,Tiksi,52,RU,1586552765,93,71.69,128.87,20.59,22.35
354,Pangkalanbuun,99,ID,1586552766,91,-2.68,111.62,76.64,2.04
355,Butembo,97,CD,1586552767,62,0.15,29.28,59.58,1.99
356,Turinsk,65,RU,1586552769,85,58.05,63.7,36.32,8.57
357,Jipijapa,85,EC,1586552770,74,-1.33,-80.58,82.4,6.93
358,Mount Gambier,75,AU,1586552771,66,-37.83,140.77,53.6,20.8
359,Stavrovo,85,RU,1586552772,78,56.13,40.01,36.19,3.91
360,Fjerritslev,72,DK,1586552773,80,57.08,9.27,37.65,5.01
361,Omboué,71,GA,1586552774,87,-1.57,9.26,80.24,7.83
362,Poum,70,NC,1586552775,70,-20.23,164.02,76.91,11.61
363,Inhambane,1,MZ,1586552777,72,-23.86,35.38,72.34,8.68
364,Cherskiy,100,RU,1586552624,88,68.75,161.3,7.84,24.45
365,Ayan,0,RU,1586552780,92,56.45,138.17,29.03,7.78
366,Khasan,18,RU,1586552781,64,42.43,130.64,41.32,9.04
367,Verāval,0,IN,1586552608,62,20.9,70.37,77.76,11.07
368,Bontang,17,ID,1586552783,82,0.13,117.5,78.33,8.84
369,Ambulu,77,ID,1586552785,80,-8.35,113.61,77.23,2.82
370,Eydhafushi,6,MV,1586552786,69,5.1,73.07,84.15,2.62
371,Longyearbyen,20,SJ,1586552787,70,78.22,15.64,-2.2,6.93
372,Torbay,90,CA,1586552602,100,47.67,-52.73,38.25,20.8
